INFO  - 2021-04-12 09:52:04.135; utils.log; START=ChangeStudentProfilePicture--------------------------------------------------------------
INFO  - 2021-04-12 09:52:15.194; utils.log; Test Execution Started On  Alpha
INFO  - 2021-04-12 09:52:19.557; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2021-04-12 09:52:22.024; utils.log; Login Successful
INFO  - 2021-04-12 09:52:24.318; utils.log; Menu Dropdown Clicked
INFO  - 2021-04-12 09:52:24.377; utils.log; My profile Selected
INFO  - 2021-04-12 09:52:26.895; utils.log; Change Avatar Icon Clicked
INFO  - 2021-04-12 09:52:28.999; utils.log; Image Selected 
INFO  - 2021-04-12 09:52:31.087; utils.log; DONE BUTTON CLICKED 
INFO  - 2021-04-12 09:52:31.153; utils.log; Save BUTTON CLICKED 
INFO  - 2021-04-12 09:52:33.170; utils.log; Upload Photo Success Message was Displayed 
INFO  - 2021-04-12 09:52:33.171; utils.log; End TEST-------------------------- ChangeStudentProfilePicture------------------------
INFO  - 2021-04-12 09:52:33.171; utils.log; END=PASSED
INFO  - 2021-04-12 09:52:33.398; utils.log; START=StudentAboutPage--------------------------------------------------------------
INFO  - 2021-04-12 09:52:48.996; utils.log; Test Execution Started On  Alpha
INFO  - 2021-04-12 09:52:53.338; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2021-04-12 09:52:55.412; utils.log; Login Successful
INFO  - 2021-04-12 09:52:55.536; utils.log; Menu Dropdown Clicked
INFO  - 2021-04-12 09:52:55.617; utils.log; About Menu Selected
INFO  - 2021-04-12 09:52:55.766; utils.log; Version Number Release Notes, Welcome and Coming Soon Tabs Validated
INFO  - 2021-04-12 09:52:55.767; utils.log; End TEST-------------------------- StudentAboutPage------------------------
INFO  - 2021-04-12 09:52:55.767; utils.log; END=PASSED
INFO  - 2021-04-12 09:52:55.898; utils.log; START=DeleteStudentProfilePicture--------------------------------------------------------------
INFO  - 2021-04-12 09:53:02.367; utils.log; Test Execution Started On  Alpha
INFO  - 2021-04-12 09:53:06.703; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2021-04-12 09:53:08.719; utils.log; Login Successful
INFO  - 2021-04-12 09:53:12.789; utils.log; Menu Dropdown Clicked
INFO  - 2021-04-12 09:53:12.846; utils.log; My profile Selected
INFO  - 2021-04-12 09:53:19.160; utils.log; Change Avatar Icon Clicked
INFO  - 2021-04-12 09:53:21.231; utils.log; Delete BUTTON CLICKED 
INFO  - 2021-04-12 09:53:23.283; utils.log; Save BUTTON CLICKED 
INFO  - 2021-04-12 09:53:25.318; utils.log; Upload Delete Success Message was Displayed 
INFO  - 2021-04-12 09:53:25.319; utils.log; End TEST-------------------------- DeleteStudentProfilePicture------------------------
INFO  - 2021-04-12 09:53:25.319; utils.log; END=PASSED
INFO  - 2021-04-12 09:53:25.461; utils.log; START=StudentSearchEvent--------------------------------------------------------------
INFO  - 2021-04-12 09:53:39.141; utils.log; Test Execution Started On  Alpha
INFO  - 2021-04-12 09:53:43.646; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2021-04-12 09:53:45.661; utils.log; Login Successful
INFO  - 2021-04-12 09:53:47.711; utils.log; Menu Dropdown Available
INFO  - 2021-04-12 09:53:49.765; utils.log; EventsHubMenu Button Clicked 
INFO  - 2021-04-12 09:53:51.791; utils.log; There is no Search Event Function for Uni 
INFO  - 2021-04-12 09:53:51.791; utils.log; End TEST-------------------------- StudentSearchEvent------------------------
INFO  - 2021-04-12 09:53:51.791; utils.log; END=PASSED
INFO  - 2021-04-12 09:54:16.739; utils.log; START=StudentsApplicationsPage--------------------------------------------------------------
INFO  - 2021-04-12 09:54:27.149; utils.log; Test Execution Started On  Alpha
INFO  - 2021-04-12 09:54:31.492; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2021-04-12 09:54:33.511; utils.log; Login Successful
INFO  - 2021-04-12 09:54:33.569; utils.log; Menu Dropdown Clicked
INFO  - 2021-04-12 09:54:33.629; utils.log; Applications Menu Selected
INFO  - 2021-04-12 09:54:35.893; utils.log; End TEST-------------------------- StudentsApplicationsPage------------------------
INFO  - 2021-04-12 09:54:35.894; utils.log; END=PASSED
INFO  - 2021-04-12 09:54:36.024; utils.log; START=StudentsApplyJob--------------------------------------------------------------
INFO  - 2021-04-12 09:54:50.003; utils.log; Test Execution Started On  Alpha
INFO  - 2021-04-12 09:54:54.358; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2021-04-12 09:54:56.444; utils.log; Login Successful
INFO  - 2021-04-12 09:54:56.566; utils.log; Menu Dropdown Clicked
INFO  - 2021-04-12 09:54:56.629; utils.log; Jobs Menu Selected
INFO  - 2021-04-12 09:54:58.689; utils.log; Jobs Page displayed
INFO  - 2021-04-12 09:55:02.834; utils.log; Job Title entered and Search Button Clicked 
INFO  - 2021-04-12 09:55:04.903; utils.log; Apply to Job Button Clicked
INFO  - 2021-04-12 09:55:06.960; utils.log; No Button Clicked
INFO  - 2021-04-12 09:55:09.002; utils.log; Apply to Job Button Clicked Again 
INFO  - 2021-04-12 09:55:11.065; utils.log; Yes Button Clicked
INFO  - 2021-04-12 09:55:11.103; utils.log; Job Applied Successfully and all status changed
INFO  - 2021-04-12 09:55:11.104; utils.log; End TEST-------------------------- StudentsApplyJob------------------------
INFO  - 2021-04-12 09:55:11.104; utils.log; END=PASSED
INFO  - 2021-04-12 09:55:11.230; utils.log; START=StudentsApplyJobNoCV--------------------------------------------------------------
INFO  - 2021-04-12 09:55:20.474; utils.log; Test Execution Started On  Alpha
INFO  - 2021-04-12 09:55:24.785; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2021-04-12 09:55:26.895; utils.log; Menu Dropdown Clicked
INFO  - 2021-04-12 09:55:27.013; utils.log; Jobs Menu Selected
INFO  - 2021-04-12 09:55:29.069; utils.log; Jobs Page displayed
INFO  - 2021-04-12 09:55:33.216; utils.log; Job Title entered and Search Button Clicked 
INFO  - 2021-04-12 09:55:33.233; utils.log; Apply Button not available and Create CV before applying link displayed
INFO  - 2021-04-12 09:55:33.233; utils.log; End TEST-------------------------- StudentsApplyJobNoCV------------------------
INFO  - 2021-04-12 09:55:33.233; utils.log; END=PASSED
INFO  - 2021-04-12 09:55:47.178; utils.log; START=StudentsEmptyJobDashboard--------------------------------------------------------------
INFO  - 2021-04-12 09:55:57.799; utils.log; Test Execution Started On  Alpha
INFO  - 2021-04-12 09:56:02.115; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2021-04-12 09:56:04.215; utils.log; Menu Dropdown Clicked
INFO  - 2021-04-12 09:56:04.309; utils.log; Dashboard Menu Selected
INFO  - 2021-04-12 09:56:06.360; utils.log; All Empty Jobs  Images and texts Dispalyed
INFO  - 2021-04-12 09:56:08.407; utils.log; View Jobs Link  Selected
INFO  - 2021-04-12 09:56:08.422; utils.log; Job Page is displayed
INFO  - 2021-04-12 09:56:08.422; utils.log; End TEST-------------------------- StudentsEmptyJobDashboard------------------------
INFO  - 2021-04-12 09:56:08.422; utils.log; END=PASSED
INFO  - 2021-04-12 09:56:24.603; utils.log; START=StudentsJobSearchByTitle--------------------------------------------------------------
INFO  - 2021-04-12 09:56:41.687; utils.log; Test Execution Started On  Alpha
INFO  - 2021-04-12 09:56:46.032; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2021-04-12 09:56:48.045; utils.log; Login Successful
INFO  - 2021-04-12 09:56:48.189; utils.log; Menu Dropdown Clicked
INFO  - 2021-04-12 09:56:48.256; utils.log; Jobs Menu Selected
INFO  - 2021-04-12 09:56:50.312; utils.log; Jobs Page displayed
INFO  - 2021-04-12 09:56:54.435; utils.log; Job Title entered and Search Button Clicked 
INFO  - 2021-04-12 09:56:54.459; utils.log; Job Search by Title Was successful 
INFO  - 2021-04-12 09:56:54.459; utils.log; End TEST-------------------------- StudentsJobSearchByTitle------------------------
INFO  - 2021-04-12 09:56:54.459; utils.log; END=PASSED
INFO  - 2021-04-12 09:56:54.585; utils.log; START=StudentsInvalidJobSearch--------------------------------------------------------------
INFO  - 2021-04-12 09:57:17.490; utils.log; Test Execution Started On  Alpha
INFO  - 2021-04-12 09:57:21.822; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2021-04-12 09:57:23.923; utils.log; Login Successful
INFO  - 2021-04-12 09:57:24.063; utils.log; Menu Dropdown Clicked
INFO  - 2021-04-12 09:57:26.128; utils.log; Jobs Menu Selected
INFO  - 2021-04-12 09:57:28.124; utils.log; Jobs Page displayed
INFO  - 2021-04-12 09:57:32.261; utils.log; Invalid Job Title entered and Search Button Clicked 
INFO  - 2021-04-12 09:57:32.288; utils.log; End TEST-------------------------- StudentsInvalidJobSearch------------------------
INFO  - 2021-04-12 09:57:32.289; utils.log; END=PASSED
INFO  - 2021-04-12 09:57:32.419; utils.log; START=StudentsJobSearchByCity--------------------------------------------------------------
INFO  - 2021-04-12 09:57:49.689; utils.log; Test Execution Started On  Alpha
INFO  - 2021-04-12 09:57:54.026; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2021-04-12 09:57:56.271; utils.log; Login Successful
INFO  - 2021-04-12 09:57:58.383; utils.log; Menu Dropdown Clicked
INFO  - 2021-04-12 09:57:58.433; utils.log; Jobs Menu Selected
INFO  - 2021-04-12 09:58:00.488; utils.log; Jobs Page displayed
INFO  - 2021-04-12 09:58:04.631; utils.log; Job Title entered and Search Button successful 
INFO  - 2021-04-12 09:58:04.649; utils.log; Job Search by City Was succeessful 
INFO  - 2021-04-12 09:58:04.649; utils.log; End TEST-------------------------- StudentsJobSearchByCity------------------------
INFO  - 2021-04-12 09:58:04.649; utils.log; END=PASSED
INFO  - 2021-04-12 09:58:45.311; utils.log; START=StudentsLogout--------------------------------------------------------------
INFO  - 2021-04-12 09:58:55.705; utils.log; Test Execution Started On  Alpha
INFO  - 2021-04-12 09:59:00.047; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2021-04-12 09:59:02.065; utils.log; Login Successful
INFO  - 2021-04-12 09:59:04.127; utils.log; Menu Dropdown Clicked
